method,problem_index,mode,num_correct,n,k,dominant_ratio,entropy_norm,simpson,rubric,evaluable_correct_only
grpo,aime24-24,all,16,16,3,0.875,0.16714111079989913,0.2265625,1,False
grpo,aime24-24,correct_only,16,16,3,0.875,0.16714111079989913,0.2265625,1,True
grpo,aime24-25,all,16,16,1,1.0,-0.0,0.0,1,False
grpo,aime24-25,correct_only,16,16,1,1.0,-0.0,0.0,1,True
grpo,aime24-26,all,7,16,2,0.5625,0.24717485207212436,0.4921875,3,False
grpo,aime24-26,correct_only,7,7,1,1.0,-0.0,0.0,1,True
grpo,aime24-27,all,10,16,3,0.8125,0.21709818225259064,0.3203125,2,False
grpo,aime24-27,correct_only,10,10,2,0.8,0.21732201127364886,0.31999999999999984,2,True
grpo,aime24-28,all,16,16,1,1.0,-0.0,0.0,1,False
grpo,aime24-28,correct_only,16,16,1,1.0,-0.0,0.0,1,True
grpo,aime24-29,all,6,16,1,1.0,-0.0,0.0,1,False
grpo,aime24-29,correct_only,6,6,1,1.0,-0.0,0.0,1,True
rlsd,aime24-00,all,15,16,2,0.9375,0.08432251665425347,0.1171875,1,False
rlsd,aime24-00,correct_only,15,15,1,1.0,-0.0,0.0,1,True
rlsd,aime24-01,all,16,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-01,correct_only,16,16,1,1.0,-0.0,0.0,1,True
rlsd,aime24-02,all,16,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-02,correct_only,16,16,1,1.0,-0.0,0.0,1,True
rlsd,aime24-03,all,14,16,3,0.5625,0.3118890622295664,0.5390625,3,False
rlsd,aime24-03,correct_only,14,14,2,0.5714285714285714,0.25876971183495706,0.48979591836734704,3,True
rlsd,aime24-04,all,0,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-04,correct_only,0,0,,,,,,False
rlsd,aime24-05,all,8,16,4,0.375,0.45281953111478324,0.6875,4,False
rlsd,aime24-05,correct_only,8,8,3,0.5,0.5,0.625,3,True
rlsd,aime24-06,all,0,16,3,0.625,0.2995481027607745,0.5078125,3,False
rlsd,aime24-06,correct_only,0,0,,,,,,False
rlsd,aime24-07,all,16,16,2,0.6875,0.22400955813363935,0.4296875,2,False
rlsd,aime24-07,correct_only,16,16,2,0.6875,0.22400955813363935,0.4296875,2,True
rlsd,aime24-08,all,8,16,2,0.875,0.1358911107998991,0.21875,1,False
rlsd,aime24-08,correct_only,8,8,2,0.75,0.2704260414863776,0.375,2,True
rlsd,aime24-09,all,15,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-09,correct_only,15,15,1,1.0,-0.0,0.0,1,True
rlsd,aime24-10,all,10,16,4,0.4375,0.4624004381786454,0.6953125,3,False
rlsd,aime24-10,correct_only,10,10,3,0.6,0.4126972515042214,0.5599999999999999,3,True
rlsd,aime24-11,all,12,16,3,0.875,0.16714111079989913,0.2265625,1,False
rlsd,aime24-11,correct_only,12,12,2,0.9166666666666666,0.11543129118376826,0.1527777777777779,1,True
rlsd,aime24-12,all,16,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-12,correct_only,16,16,1,1.0,-0.0,0.0,1,True
rlsd,aime24-13,all,0,16,5,0.375,0.5137591331443164,0.7265625,4,False
rlsd,aime24-13,correct_only,0,0,,,,,,False
rlsd,aime24-14,all,14,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-14,correct_only,14,14,1,1.0,-0.0,0.0,1,True
rlsd,aime24-15,all,1,16,4,0.5,0.4123493675869248,0.6328125,3,False
rlsd,aime24-15,correct_only,1,1,1,1.0,0,0.0,1,False
rlsd,aime24-16,all,6,16,3,0.4375,0.35464111079989913,0.6015625,3,False
rlsd,aime24-16,correct_only,6,6,1,1.0,-0.0,0.0,1,True
rlsd,aime24-17,all,16,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-17,correct_only,16,16,1,1.0,-0.0,0.0,1,True
rlsd,aime24-18,all,1,16,2,0.75,0.2028195311147832,0.375,2,False
rlsd,aime24-18,correct_only,1,1,1,1.0,0,0.0,1,False
rlsd,aime24-19,all,0,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-19,correct_only,0,0,,,,,,False
rlsd,aime24-20,all,8,16,2,0.9375,0.08432251665425347,0.1171875,1,False
rlsd,aime24-20,correct_only,8,8,1,1.0,-0.0,0.0,1,True
rlsd,aime24-21,all,9,16,3,0.875,0.16714111079989913,0.2265625,1,False
rlsd,aime24-21,correct_only,9,9,2,0.8888888888888888,0.15876032857139008,0.19753086419753085,1,True
rlsd,aime24-22,all,15,16,2,0.9375,0.08432251665425347,0.1171875,1,False
rlsd,aime24-22,correct_only,15,15,1,1.0,-0.0,0.0,1,True
rlsd,aime24-23,all,2,16,3,0.875,0.16714111079989913,0.2265625,1,False
rlsd,aime24-23,correct_only,2,2,2,0.5,1.0,0.5,3,True
rlsd,aime24-24,all,16,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-24,correct_only,16,16,1,1.0,-0.0,0.0,1,True
rlsd,aime24-25,all,16,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-25,correct_only,16,16,1,1.0,-0.0,0.0,1,True
rlsd,aime24-26,all,7,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-26,correct_only,7,7,1,1.0,-0.0,0.0,1,True
rlsd,aime24-27,all,11,16,3,0.8125,0.21709818225259064,0.3203125,2,False
rlsd,aime24-27,correct_only,11,11,2,0.9090909090909091,0.12704312019170227,0.16528925619834722,1,True
rlsd,aime24-28,all,14,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-28,correct_only,14,14,1,1.0,-0.0,0.0,1,True
rlsd,aime24-29,all,10,16,1,1.0,-0.0,0.0,1,False
rlsd,aime24-29,correct_only,10,10,1,1.0,-0.0,0.0,1,True
